year,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total
2024-25,51,200,212,190,215,213,199,209,182,217,208,229,218,273,2816
2023-24,56,217,188,222,223,222,202,185,218,214,237,228,271,259,2942
2022-23,49,202,250,230,232,209,192,220,226,252,235,282,258,244,3081
2021-22,45,243,211,205,204,167,206,209,245,218,244,226,228,239,2890
2020-21,57,229,204,208,184,212,217,234,218,241,224,228,225,232,2913
2019-20,57,238,208,193,214,221,239,223,244,218,220,233,229,226,2963
2018-19,56,228,201,214,214,236,230,250,222,222,240,225,217,224,2979
2017-18,36,214,227,221,229,221,246,218,226,246,212,229,223,234,2982
2016-17,28,239,232,230,230,254,230,219,244,245,227,219,239,207,3043
2015-16,28,246,225,247,243,248,212,244,252,227,223,255,207,227,3084
2014-15,27,229,252,252,255,222,243,256,238,231,251,204,222,220,3102
2013-14,28,259,257,254,229,245,255,230,233,256,197,220,211,222,3096
